Academic Year,TAP College Code,Federal School Code,Level,TAP Level of Study,TAP College Name,Sector Type,TAP Sector Group,TAP Recipient Headcount,TAP Recipient FTEs,TAP Recipient Dollars
2021,10,2666,U,4 yr Undergrad,ADELPHI UNIVERSITY 4 YR UNDERGRAD,PRIVATE,5-INDEPENDENT,1421,1330.91,4556565.02
2021,2000,2860,U,2 yr Undergrad,ADIRONDACK COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,583,446.24,1262884.26
2021,2000,2860,U,4 yr Undergrad,ADIRONDACK COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,1,0.51,523.23
2021,995,2885,U,4 yr Undergrad,ALBANY COLLEGE OF PHARMACY 4YR UG,PRIVATE,5-INDEPENDENT,147,145.17,507767.02
2021,20,2668,U,4 yr Undergrad,ALFRED UNIVERSITY 4YR UNDERGRAD,PRIVATE,5-INDEPENDENT,412,370.75,1179482.10
2021,8250,2790,U,4 yr Undergrad,ALLIANCE UNIVERSITY,PRIVATE,9-CHAPTER XXII,10,8.61,40197.06
2021,8250,2790,U,5 yr Undergrad,ALLIANCE UNIVERSITY,PRIVATE,9-CHAPTER XXII,1,0.54,2995.04
2021,575,2790,U,4 yr Undergrad,ALLIANCE UNIVERSITY 4YR UNDERGRAD,PRIVATE,5-INDEPENDENT,169,132.11,510361.54
2021,575,2790,U,5 yr Undergrad,ALLIANCE UNIVERSITY 4YR UNDERGRAD,PRIVATE,5-INDEPENDENT,19,15.67,55923.40
2021,1075,7465,U,2 yr Undergrad,AMERICAN ACAD OF DRAMATIC ARTS,PRIVATE,5-INDEPENDENT,7,7.19,27788.78
2021,7952,10813,U,2 yr Undergrad,AMERICAN ACADEMY MCALLISTER INST.,PRIVATE,6-BUS. DEGREE,42,33.18,117688.43
2021,1520,42349,U,2 yr Undergrad,AMG SCHOOL OF LIC PRACT NURSING,PRIVATE,5-INDEPENDENT,49,30.32,106991.02
2021,1525,30955,U,2 yr Undergrad,ASA INST OF BUS NURSING PROGRAM,PRIVATE,5-INDEPENDENT,7,4.62,15260.76
2021,7725,30955,U,2 yr Undergrad,ASA INSTITUTE OF BUSINESS,PRIVATE,6-BUS. DEGREE,965,793.28,2702642.29
2021,8201,11208,U,4 yr Undergrad,ASSOCIATED BETH RIVKAH SCHOOL,PRIVATE,9-CHAPTER XXII,68,68.89,328410.95
2021,8202,42678,U,4 yr Undergrad,BAIS BINYOMIN ACADEMY,PRIVATE,9-CHAPTER XXII,24,22.6,104182.22
2021,8203,42846,U,4 yr Undergrad,BAIS MEDRASH OF DEXTER PARK,PRIVATE,9-CHAPTER XXII,3,3.23,18293.16
2021,8274,26229,U,4 yr Undergrad,BAIS MEDROSH ELYON,PRIVATE,9-CHAPTER XXII,3,3.23,15282.51
2021,35,2671,U,4 yr Undergrad,BARD COLLEGE 4YR UNDERGRAD,PRIVATE,5-INDEPENDENT,225,218.91,806711.72
2021,155,2708,U,4 yr Undergrad,BARNARD COLLEGE,PRIVATE,5-INDEPENDENT,271,261.56,1052583.18
2021,8204,41928,U,4 yr Undergrad,BE'ER YAAKOV TALMUDIC SEMINARY,PRIVATE,9-CHAPTER XXII,464,473.61,2422319.72
2021,8204,41928,U,5 yr Undergrad,BE'ER YAAKOV TALMUDIC SEMINARY,PRIVATE,9-CHAPTER XXII,57,58.12,278036.14
2021,8206,37133,U,4 yr Undergrad,BEIS MEDRASH HEICHAL DOVID,PRIVATE,9-CHAPTER XXII,30,30.14,105384.00
2021,7030,8556,U,2 yr Undergrad,BERKELEY COLLEGE 2YR,PRIVATE,6-BUS. DEGREE,215,165.73,723797.77
2021,6730,8556,U,4 yr Undergrad,BERKELEY COLLEGE 4YR,PRIVATE,6-BUS. DEGREE,421,382.93,1539548.98
2021,8207,42272,U,4 yr Undergrad,BET MEDRASH GADOL ATEREST TORAH,PRIVATE,9-CHAPTER XXII,48,44.13,179022.18
2021,8207,42272,U,5 yr Undergrad,BET MEDRASH GADOL ATEREST TORAH,PRIVATE,9-CHAPTER XXII,8,8.07,30031.68
2021,8209,11192,U,4 yr Undergrad,BETH HAMEDRASH SHAAREI YOSHER,PRIVATE,9-CHAPTER XXII,24,25.83,129202.79
2021,8209,11192,U,5 yr Undergrad,BETH HAMEDRASH SHAAREI YOSHER,PRIVATE,9-CHAPTER XXII,1,1.08,3686.62
2021,8211,42104,U,4 yr Undergrad,BETH MEDRASH MEOR YITZCHOK,PRIVATE,9-CHAPTER XXII,54,57.59,305954.33
2021,2262,13029,U,4 yr Undergrad,BORICUA COLLEGE 4YR UNDERGRAD,PRIVATE,5-INDEPENDENT,314,249.05,1053717.24
2021,2025,2862,U,2 yr Undergrad,BROOME COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,1063,804.56,2415824.22
2021,7730,2678,U,2 yr Undergrad,BRYANT & STRATTON ALBANY,PRIVATE,6-BUS. DEGREE,178,139.88,579649.41
2021,6830,2678,U,4 yr Undergrad,BRYANT & STRATTON BBA ALBANY,PRIVATE,6-BUS. DEGREE,6,3.14,13660.88
2021,6836,2678,U,4 yr Undergrad,BRYANT & STRATTON BBA SYRACUSE,PRIVATE,6-BUS. DEGREE,67,61.3,237826.12
2021,7732,2678,U,2 yr Undergrad,BRYANT & STRATTON BUFFALO,PRIVATE,6-BUS. DEGREE,1132,921.51,4060393.10
2021,6732,2678,U,4 yr Undergrad,BRYANT & STRATTON BUFFALO,PRIVATE,6-BUS. DEGREE,201,163.72,659909.64
2021,6734,2678,U,4 yr Undergrad,BRYANT & STRATTON GREECE,PRIVATE,6-BUS. DEGREE,8,6.29,29522.70
2021,7734,2678,U,2 yr Undergrad,BRYANT & STRATTON ROCHESTER,PRIVATE,6-BUS. DEGREE,194,158.44,669728.32
2021,7736,2678,U,2 yr Undergrad,BRYANT & STRATTON SYRACUSE,PRIVATE,6-BUS. DEGREE,251,204.85,858112.40
2021,90,2681,U,4 yr Undergrad,CANISIUS COLLEGE 4YR UNDERGRAD,PRIVATE,5-INDEPENDENT,503,463.98,1459119.24
2021,90,2681,U,5 yr Undergrad,CANISIUS COLLEGE 4YR UNDERGRAD,PRIVATE,5-INDEPENDENT,13,10.06,43237.93
2021,7901,41256,U,2 yr Undergrad,CAREER SCHOOL OF NY INC,PRIVATE,7-BUS. NON-DEG,15,21.14,74131.04
2021,2005,2861,U,2 yr Undergrad,CAYUGA COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,451,331.01,1014857.33
2021,2035,2685,U,4 yr Undergrad,CAZENOVIA COLLEGE,PRIVATE,5-INDEPENDENT,264,250.77,898619.01
2021,2035,2685,U,5 yr Undergrad,CAZENOVIA COLLEGE,PRIVATE,5-INDEPENDENT,1,0.51,1407.48
2021,8223,42432,U,4 yr Undergrad,CENTRAL YESHIVA BETH JOSEPH,PRIVATE,9-CHAPTER XXII,1,1.08,6097.72
2021,1610,11614,U,2 yr Undergrad,CHAMPLAIN VALLEY SCH XRAY TECH,PRIVATE,8-OTHER,4,4.91,6929.24
