"zip","population","city","county"
"11368",112750,"Corona","Queens County"
"11208",108180,"Brooklyn","Kings County"
"11385",105521,"Ridgewood","Queens County"
"11373",102618,"Elmhurst","Queens County"
"11226",101053,"Brooklyn","Kings County"
"11236",100082,"Brooklyn","Kings County"
"10467",98713,"Bronx","Bronx County"
"10025",96988,"New York","New York County"
"11207",96801,"Brooklyn","Kings County"
"10314",94355,"Staten Island","Richmond County"
"11220",93008,"Brooklyn","Kings County"
"11219",92283,"Brooklyn","Kings County"
"11221",91236,"Brooklyn","Kings County"
"11214",90796,"Brooklyn","Kings County"
"11230",90245,"Brooklyn","Kings County"
"11234",89976,"Brooklyn","Kings County"
"11206",89949,"Brooklyn","Kings County"
"10456",88575,"Bronx","Bronx County"
"11377",86977,"Woodside","Queens County"
"11212",84006,"Brooklyn","Kings County"
"11233",83125,"Brooklyn","Kings County"
"11235",83069,"Brooklyn","Kings County"
"10458",82678,"Bronx","Bronx County"
"10468",81397,"Bronx","Bronx County"
"11229",81109,"Brooklyn","Kings County"
"11204",80575,"Brooklyn","Kings County"
"10453",80385,"Bronx","Bronx County"
"11223",80113,"Brooklyn","Kings County"
"10457",79817,"Bronx","Bronx County"
"11355",79495,"Flushing","Queens County"
"10452",78624,"Bronx","Bronx County"
"11203",78506,"Brooklyn","Kings County"
"10462",77230,"Bronx","Bronx County"
"10002",76518,"New York","New York County"
"10029",75614,"New York","New York County"
"11375",75212,"Forest Hills","Queens County"
"11218",73318,"Brooklyn","Kings County"
"10466",72273,"Bronx","Bronx County"
"11215",72014,"Brooklyn","Kings County"
"10469",71862,"Bronx","Bronx County"
"11209",71812,"Brooklyn","Kings County"
"10977",70555,"Spring Valley","Rockland County"
"11691",70365,"Far Rockaway","Queens County"
"10463",70296,"Bronx","Bronx County"
"11201",69755,"Brooklyn","Kings County"
"11213",69131,"Brooklyn","Kings County"
"11434",68182,"Jamaica","Queens County"
"10701",68032,"Yonkers","Westchester County"
"11746",67663,"Huntington Station","Suffolk County"
"11372",67001,"Jackson Heights","Queens County"
"10027",65806,"New York","New York County"
"14850",65740,"Ithaca","Tompkins County"
"10023",65706,"New York","New York County"
"11211",65511,"Brooklyn","Kings County"
"11706",65437,"Bay Shore","Suffolk County"
"10472",65283,"Bronx","Bronx County"
"11717",64969,"Brentwood","Suffolk County"
"11432",64268,"Jamaica","Queens County"
"10312",63473,"Staten Island","Richmond County"
"11210",63426,"Brooklyn","Kings County"
"10950",63011,"Monroe","Orange County"
"10024",62774,"New York","New York County"
"11216",62373,"Brooklyn","Kings County"
"10031",61044,"New York","New York County"
"11550",60668,"Hempstead","Nassau County"
"10032",60480,"New York","New York County"
"10473",60087,"Bronx","Bronx County"
"11435",59961,"Jamaica","Queens County"
"10460",59852,"Bronx","Bronx County"
"10033",58711,"New York","New York County"
"11225",58476,"Brooklyn","Kings County"
"10009",58418,"New York","New York County"
"11238",58047,"Brooklyn","Kings County"
"10128",56695,"New York","New York County"
"10306",56232,"Staten Island","Richmond County"
"12550",55404,"Newburgh","Orange County"
"14221",55228,"Buffalo","Erie County"
"14580",54520,"Webster","Monroe County"
"10016",54369,"New York","New York County"
"11758",54201,"Massapequa","Nassau County"
"10003",53877,"New York","New York County"
"12180",53807,"Troy","Rensselaer County"
"11354",53371,"Flushing","Queens County"
"10459",51964,"Bronx","Bronx County"
"10940",51853,"Middletown","Orange County"
"10451",51311,"Bronx","Bronx County"
"11420",51153,"South Ozone Park","Queens County"
"10461",50868,"Bronx","Bronx County"
"10011",50772,"New York","New York County"
"11205",50319,"Brooklyn","Kings County"
"14094",50302,"Lockport","Niagara County"
"11419",48096,"South Richmond Hill","Queens County"
"11590",47951,"Westbury","Nassau County"
"11224",47893,"Brooklyn","Kings County"
"11003",47515,"Elmont","Nassau County"
"10952",47509,"Monsey","Rockland County"
"11374",47230,"Rego Park","Queens County"
"11237",47183,"Brooklyn","Kings County"
"11365",46424,"Fresh Meadows","Queens County"
"10465",46311,"Bronx","Bronx County"
"10028",45717,"New York","New York County"
"11772",45345,"Patchogue","Suffolk County"
"11249",45087,"Brooklyn","Kings County"
"11757",45082,"Lindenhurst","Suffolk County"
"11520",44876,"Freeport","Nassau County"
"10304",44864,"Staten Island","Richmond County"
"11413",44832,"Springfield Gardens","Queens County"
"14075",44610,"Hamburg","Erie County"
"12065",44563,"Clifton Park","Saratoga County"
"14120",44414,"North Tonawanda","Niagara County"
"10455",44380,"Bronx","Bronx County"
"11228",44196,"Brooklyn","Kings County"
"10040",43653,"New York","New York County"
"12601",43623,"Poughkeepsie","Dutchess County"
"10475",43517,"Bronx","Bronx County"
"11580",43396,"Valley Stream","Nassau County"
"11367",43286,"Flushing","Queens County"
"13760",43240,"Endicott","Broome County"
"14450",43082,"Fairport","Monroe County"
"11217",43045,"Brooklyn","Kings County"
"11357",42792,"Whitestone","Queens County"
"10019",42766,"New York","New York County"
"11756",42459,"Levittown","Nassau County"
"14215",42368,"Buffalo","Erie County"
"12603",42215,"Poughkeepsie","Dutchess County"
"10305",42211,"Staten Island","Richmond County"
"11040",42140,"New Hyde Park","Nassau County"
"11801",41967,"Hicksville","Nassau County"
"10801",41724,"New Rochelle","Westchester County"
"10034",41570,"New York","New York County"
"11421",41552,"Woodhaven","Queens County"
"14150",41456,"Tonawanda","Erie County"
"11743",41423,"Huntington","Suffolk County"
"13440",41198,"Rome","Oneida County"
"10573",41139,"Port Chester","Westchester County"
"14609",41134,"Rochester","Monroe County"
"10583",41107,"Scarsdale","Westchester County"
"10454",41073,"Bronx","Bronx County"
"14224",40745,"Buffalo","Erie County"
"10021",40642,"New York","New York County"
"11412",40593,"Saint Albans","Queens County"
"10301",40331,"Staten Island","Richmond County"
"11106",40198,"Astoria","Queens County"
"13501",40152,"Utica","Oneida County"
"11222",40137,"Brooklyn","Kings County"
"10550",40073,"Mount Vernon","Westchester County"
"11704",39753,"West Babylon","Suffolk County"
"14701",39481,"Jamestown","Chautauqua County"
"11378",39250,"Maspeth","Queens County"
"14624",39028,"Rochester","Monroe County"
"11433",38865,"Jamaica","Queens County"
"10705",38861,"Yonkers","Westchester County"
"11231",38829,"Brooklyn","Kings County"
"12866",38813,"Saratoga Springs","Saratoga County"
"11105",38756,"Astoria","Queens County"
"11561",38755,"Long Beach","Nassau County"
"11779",38654,"Ronkonkoma","Suffolk County"
"10035",38595,"New York","New York County"
"13601",38332,"Watertown","Jefferson County"
"11418",38317,"Richmond Hill","Queens County"
"10026",38265,"New York","New York County"
"11379",38261,"Middle Village","Queens County"
"11364",38124,"Oakland Gardens","Queens County"
"11358",37647,"Flushing","Queens County"
"13021",37640,"Auburn","Cayuga County"
"11722",37032,"Central Islip","Suffolk County"
"11554",36856,"East Meadow","Nassau County"
"12590",36816,"Wappingers Falls","Dutchess County"
"13126",36278,"Oswego","Oswego County"
"13027",35432,"Baldwinsville","Onondaga County"
"14612",35265,"Rochester","Monroe County"
"12401",35138,"Kingston","Ulster County"
"14086",35121,"Lancaster","Erie County"
"11510",35070,"Baldwin","Nassau County"
"11710",34950,"Bellmore","Nassau County"
"11103",34752,"Astoria","Queens County"
"10309",34740,"Staten Island","Richmond County"
"12020",34571,"Ballston Spa","Saratoga County"
"11787",34408,"Smithtown","Suffolk County"
"11101",34279,"Long Island City","Queens County"
"14225",34063,"Buffalo","Erie County"
"11566",33976,"Merrick","Nassau County"
"13502",33962,"Utica","Oneida County"
"14534",33914,"Pittsford","Monroe County"
"10022",33586,"New York","New York County"
"10562",33538,"Ossining","Westchester County"
"12309",33332,"Schenectady","Schenectady County"
"14621",32976,"Rochester","Monroe County"
